id,en,es
CHOICE_SUSTAINABILITY,"You have {var1} out of 40 [b]Self[/b] points.
So important to think about the long-term benefits of your choices today.",
CHOICE_NOTHING,"You have {var1} out of 40 [b]Self[/b] points.
Collaboration is the way forward for climate justice!",
,,
,,
ACTION_CARD_01,"[center][b]Justice:[/b]
All people deserve justice, as does the earth.[/center]
","1. Justice:                City Hall
"
ACTION_CARD_02,"[center][b]Equity:[/b]
All people have the right to be who they are.[/center]
","2. Equity:                 Rainbow Flag
"
ACTION_CARD_03,"[center][b]Health:[/b]
We must have our physical and mental [b]ealth[/b] in order to be our best self. Get a check-up![/center]
","3. Health:                 Health Tent
"
ACTION_CARD_04,"[center][b]Education:[/b]
Those who do not know their history are doomed to repeat it. Get educated.[/center]
","4. Education:           School
"
ACTION_CARD_05,"[center][b]Housing:[/b]
We all deserve shelter and a place to rest.[/center]
","5. Housing:              House
"
ACTION_CARD_06,"[center][b]Food:[/b]
We all have a right to healthy.[/center]
","6. Food:                   Box of Fruit
"
ACTION_CARD_07,"[center][b]Community:[/b]
Joy, love, and strength in community.[/center]
","7. Community:         Meeting People sign
"
ACTION_CARD_08,"[center][b]Work:[/b]
Work is how you contribute to society.[/center]
","8. Work:                   Laptop
"
ACTION_CARD_09,"[center][b]Energy:[/b]
We all have a right to sustainable energy.[/center]
","9. Energy:                Wind Turbine
"
ACTION_CARD_10,"[center][b]Mutual Aid:[/b]
is people caring for each other.[/center]
","10. Mutual Aid:         Flag Money
"
ACTION_CARD_11,"[center][b]Just Migration:[/b]
People fleeing disasters must be welcomed.[/center]
","11. Just Migration:   Parakeet
"
ACTION_CARD_12,"[center][b]Nature[/b]:
is the basis for all we depend upon.  We are part of it.[/center]
","12. Nature:               Flower
"
ACTION_CARD_13,"[center][b]Recreation[/b]:
The work you do only for yourself.[/center]
","13. Recreation:         Music note
"
ACTION_CARD_14,"[center]The diversity of [b]Environments[/b] on this planet is awe inspiring and incredibly delicate.[/center]
","14. Environment:      Fruit Tree
"
ACTION_CARD_15,"[center][/b]Decolonization:[/b]
Our histories are intertwined across the globe, and injustices can be repaired.[/center]
","15. Decolonization:  Protest
"
ACTION_CARD_16,"[center]Reality or fiction, we are defined by the [b]stories[/b] we share with everyone everyday.[/center]
","16. Storytelling:        Library
"
ACTION_CARD_17,"[center][b]Transport:[/b]
Is what moves the world.[/center]
","17. Transport:           Bicycle
"
ACTION_CARD_18,"[center][b]Arts:[/b]
Reflections of cultures around the world.[/center]
","18. Arts:                    Paint Palette
"
ACTION_CARD_19,"[center][b]Resources:[/b]
Sustainable resource use has zero waste.[/center]
","19. Resources:         Solar Panel
"
ACTION_CARD_20,"[center]The [b]Truth[/b] cannot protect itself. It needs truth speakers to defend it.[/center]
","20. Truth:                  Law Building
"
ACTION_CARD_21,"[center][b]Death[/b]:
All living things die.[/center]
",21. Death:                Gravestone
,,
,,
GLOSSARY_01,"[center][b]Self:[/b]
Our own individual life, including our physical, emotional, and spiritual needs.[/center]
",
GLOSSARY_02,"[center][b]Society:[/b]
The people and their energy that make up the communities around us, shaping our way of life.[/center]
",
GLOSSARY_03,"[center][b]Sustainability:[/b]
How efficiently one uses their resources, and how many resources one consumes.[/center]
",
GLOSSARY_04,"[center][b]Decent Living Requirements:[/b]
Even for a potential  future population of 10 billion people, the decent living requirement could be met for everyone with under 5 TW of power.[/center]
",
GLOSSARY_05,Terawatt,
GLOSSARY_06,"[b]BIPOC:[/b]
Black and Indigeonous People of Color[/center]",
,,
GLOSSARY_ALL,"[b]Justice:[/b]
All people deserve justice, as does the earth.

[b]Equity:[/b]
All people have the right to be who they are

[b]Health:[/b]

[b]Education:[/b]

[b]Housing:[/b]

[b]Food:[/b]

[b]Co[/b]

[b][/b]

[b][/b]",
